t,front,diss_cum,ke
0.0,4.500000039070063,1.0367600982608074e-42,2.073520196521615e-38
1.0,4.627171555065907,1.111805949558351e-19,2.461881223502643e-17
2.0,4.964214422752699,3.834445496861711e-13,3.9998373016289366e-11
3.0,5.419837534572408,1.2939987295360565e-09,8.146209785680976e-08
4.0,5.816557863204418,2.1083527664999057e-07,8.567718752265446e-06
5.0,6.241519424628038,5.734323291315082e-06,0.00015105920553622548
6.0,6.683386433004099,4.8064984708819475e-05,0.0008082476489810283
7.0,7.1489688968626135,0.00018522625892736228,0.001966918871143039
8.0,7.672418614510756,0.000433825624981523,0.002910706058186148
9.0,8.217635326176861,0.0007456420213239959,0.0032272823397758075
10.0,8.780854364657642,0.0010657777510516902,0.0031397782188922765
11.0,9.344851657237953,0.001371376516464809,0.002978712914833482
12.0,9.885101057752783,0.001663948888070324,0.00288349477907886
13.0,10.423905599411578,0.001948900086431617,0.0028143681677209225
14.0,10.937352393294812,0.0022265257689450847,0.0027392800851846998
15.0,11.442099897310008,0.0024976646418942232,0.002690124138100209
16.0,11.927104114726166,0.0027656239119395218,0.002671614545832454
17.0,12.398362791881937,0.003031963527491505,0.0026538011847550232
18.0,12.85068882248458,0.0032961952713129353,0.0026306003307866987
19.0,13.294909937138415,0.003558032855386463,0.0026052315471658287
20.0,13.721636611896887,0.0038168683320580284,0.0025692974528206264
21.0,14.145758898580972,0.004071594370150774,0.0025247461720611596
22.0,14.55907669573864,0.004321878195819113,0.0024818498632030042
23.0,14.967380185233049,0.004568202456882599,0.0024462061696822477
24.0,15.374521366687063,0.004811561261599812,0.0024238456557641236
25.0,15.771184064651477,0.00505360973426836,0.002420503439406565
26.0,16.174103621334886,0.005296321163226247,0.002436719085742547
27.0,16.566288298215202,0.005541492814060345,0.0024690669669296104
28.0,16.965806575015446,0.005790498197143186,0.0025122288847622028
29.0,17.36620886995294,0.006044070095038334,0.002559163724449826
30.0,17.76747851959566,0.006302210068989921,0.002602614555891135
31.0,18.180657646197783,0.006564326475735119,0.0026380195058460995
32.0,18.590130979159913,0.006829451610676252,0.002662486257306722
33.0,19.007939400998332,0.007096389307458288,0.0026740840149021856
34.0,19.425316038869187,0.007363846444082196,0.0026729106230416353
35.0,19.840679518071013,0.007630553793900227,0.0026592507829027185
36.0,20.261535809418646,0.007895297062777059,0.002633774348995065
37.0,20.674740361012066,0.008156997746558193,0.0025989163250881684
38.0,21.09073543279492,0.008414866515180768,0.0025578172272528697
39.0,21.5041047520686,0.008668485861035857,0.0025145530874775717
40.0,21.911760327082096,0.008917859717031072,0.002473699315539153
41.0,22.3255766431775,0.009163426425389486,0.002439018430620003
42.0,22.728439787037782,0.009405976837091245,0.002413699620035882
43.0,23.138709965700762,0.009646546396432773,0.00239970890888622
44.0,23.541129271787977,0.009886313240445536,0.0023976554883290264
45.0,23.945991983444937,0.010126472818479004,0.002407319364959734
46.0,24.35349302183321,0.010368110110140204,0.0024269027777773546
47.0,24.756091993198215,0.010612083502823865,0.0024534247416008637
48.0,25.168308699473855,0.010858914468920369,0.0024833721151955902
49.0,25.572873600624078,0.011108738197209056,0.00251273819415135
50.0,25.984662988150774,0.011361327133760599,0.00253809593171145
51.0,26.394250074487474,0.01161614342834845,0.002556934676281985
52.0,26.80214383238189,0.01187243466620705,0.0025674703935291785
53.0,27.21631811011773,0.012129339333636717,0.0025690933765081542
54.0,27.623984403608876,0.012385965624694963,0.0025620354511914326
55.0,28.035267778725192,0.012641480866024995,0.002547131013727202
56.0,28.44669204496873,0.01289518810981115,0.002526144340589157
57.0,28.853126090063295,0.013146583212379,0.0025013542668597824
58.0,29.267130382919408,0.013395411563232403,0.0024752582715815456
59.0,29.672378342210564,0.013641681929371234,0.002450564606885493
60.0,30.083257704909396,0.013885649714060116,0.002429618279060824
61.0,30.49101172948301,0.014127788077046236,0.0024142191676237573
62.0,30.896623077333924,0.014368724476266337,0.0024056904718205573
63.0,31.30873336647839,0.014609171358178985,0.002404494901521825
64.0,31.712664740016443,0.014849856370511762,0.00241030775043523
65.0,32.12543540426761,0.015091437194745788,0.0024221592216785576
66.0,32.530788154861945,0.015334431382419224,0.0024382863634901794
67.0,32.93963877298053,0.015579165943675727,0.002456560700805637
68.0,33.34944482544619,0.015825745758725945,0.0024748309258086462
69.0,33.7543084897665,0.016074061761485552,0.002491006275017274
70.0,34.166456772864656,0.01632382323755818,0.002503478620731137
71.0,34.57133799574057,0.01657459995514718,0.0025111870264008917
72.0,34.97975256632499,0.016825880025147098,0.002513521800145975
73.0,35.389358430784135,0.017077125705728852,0.0025105156365362114
74.0,35.79425555773669,0.017327823407345195,0.002502710558451161
75.0,36.206818656699454,0.017577536812487568,0.002491036365816974
76.0,36.612649702762326,0.01782594698588786,0.002476866162862865
77.0,37.022019061424274,0.018072877940615507,0.0024617370868879693
78.0,37.432635175387674,0.018318311490041622,0.0024471687645855333
79.0,37.83837414650277,0.018562378994654887,0.0024346123360894016
80.0,38.25220760590168,0.018805338474237418,0.0024251874420863715
81.0,38.65757889879893,0.019047544517678556,0.002419625313288462
82.0,39.06963881015033,0.019289405424600514,0.002418289274456477
83.0,39.47747946144213,0.019531339241448967,0.002421044891081487
84.0,39.88436457242327,0.01977373262896779,0.00242734657512229
85.0,40.2962218142753,0.02001689965993646,0.0024363411831282785
86.0,40.70025157586484,0.020261052881569604,0.002446885226193748
87.0,41.11199534657905,0.020506287752517578,0.0024577570459422865
88.0,41.51683627835941,0.020752577676837622,0.0024678020325972867
89.0,41.923498134780225,0.02099978593875718,0.0024759861660900587
90.0,42.3332246069532,0.021247687809259105,0.0024815621700284432
91.0,42.73707810770575,0.021495997557265945,0.0024841040122107042
92.0,43.14851617454322,0.021744402435051904,0.002483482282086668
93.0,43.55429737253354,0.02199259565473487,0.0024799220788427312
94.0,43.96196414471758,0.022240305589104354,0.002473927886537582
95.0,44.37348888685086,0.022487322457850657,0.002466197523127639
96.0,44.778893395145026,0.022733515713276416,0.0024575953730490672
97.0,45.19252745129352,0.022978842103620795,0.002449015000223143
98.0,45.59894902802986,0.023223346463928245,0.0024412858696955713
99.0,46.009146189355285,0.023467151976447224,0.0024351354312881863
100.0,46.41955690782199,0.023710443549260656,0.002431081878674205
101.0,46.82537634716427,0.02395344743132113,0.0024294053014171464
102.0,47.23849765322208,0.024196406001457567,0.0024301557433261596
103.0,47.64299372529288,0.02443955267023288,0.0024331189017562337
104.0,48.05390870244051,0.024683089455063492,0.0024378673349611107
105.0,48.46054912097074,0.024927167059018325,0.0024438250891209274
106.0,48.865973031655905,0.025171872086100586,0.002450303470585882
107.0,49.27697790400021,0.025417221884050673,0.0024566021021470985
108.0,49.680561736417204,0.025663165690408912,0.0024620850557635025
109.0,50.091330791270735,0.0259095938862016,0.0024662196167795592
110.0,50.49751743147083,0.02615635263507894,0.002468648276156407
111.0,50.903859706178984,0.026403261317151334,0.0024692093840213607
112.0,51.3155996194398,0.026650132668856893,0.0024679260367227707
113.0,51.72047654382131,0.02689679199800799,0.0024650152972627145
114.0,52.13304908302082,0.027143093588931105,0.0024608454201041495
115.0,52.540097835809625,0.027388934229966907,0.0024558828633559618
116.0,52.948306212607996,0.027634261274836286,0.002450660208680923
117.0,53.36028329288002,0.027879075144305265,0.00244570715679088
118.0,53.765551824212224,0.02812342722421091,0.0024414971072373604
119.0,54.17873857271803,0.028367412294374682,0.002438418062300825
120.0,54.58428460018689,0.028611157082300706,0.0024367237117522344
121.0,54.993486034439535,0.028854806620432542,0.0024365162126698567
122.0,55.40274419766209,0.029098508655813968,0.0024377506108718278
123.0,55.80745942718981,0.029342398506486927,0.0024402309132484303
124.0,56.21955055911108,0.02958658600989419,0.002443641494027216
125.0,56.62364533268375,0.02983114502636218,0.002447589485685236
126.0,57.03350156223859,0.0300761074289159,0.002451638062964522
127.0,57.44103333093846,0.030321461900622574,0.002455362022703975
128.0,57.84632617106764,0.03056715688634171,0.002458393293343991
129.0,58.25841289988191,0.030813107960043558,0.0024604477171834456
130.0,58.662994584337575,0.03105920819912223,0.0024613580140618913
131.0,59.07424791737303,0.03130534000701823,0.002461083419541042
132.0,59.481944945057705,0.031551387755421906,0.0024597012563591174
133.0,59.88858713281596,0.031797249459303005,0.0024574009017981264
134.0,60.301131573180896,0.03204284631194885,0.0024544561246439716
135.0,60.70609556782657,0.032288129763078495,0.002451190401688067
136.0,61.11845471070166,0.032533085072868305,0.00244794910414953
137.0,61.5251972002059,0.032777731244040334,0.0024450595915070047
138.0,61.93263956489064,0.03302211783102115,0.00244279791863509
139.0,62.34398347250548,0.03326631859116969,0.0024413681588187773
140.0,62.74846155832743,0.0335104229124891,0.0024408793954484587
141.0,63.16082144344139,0.033754526136691165,0.00244133844364178
142.0,63.566016410673676,0.03399871939633859,0.0024426563476067265
143.0,63.97431836345056,0.03424308030870236,0.002444656541960733
144.0,64.38396613462297,0.0344876655558397,0.0024470986013678166
145.0,64.78858140007793,0.034732505781239084,0.0024497084522029982
146.0,65.20094905024041,0.03497760356246197,0.0024522049453285194
147.0,65.60575749555159,0.03522293450760009,0.002454332394989069
148.0,66.0154586867249,0.035468450987854186,0.0024558870407982237
149.0,66.42429125888498,0.03571408823670725,0.0024567325459770497
150.0,66.8297496975668,0.03595977192961008,0.0024568134198536596
151.0,67.24243302371043,0.036205426248737425,0.002456156419683824
152.0,67.64734645284064,0.03645098181683751,0.002454861477524878
153.0,68.05832526992452,0.03669638255413656,0.0024530906443929693
154.0,68.46634649941507,0.036941590776560715,0.00245104770648542
155.0,68.87248193958119,0.037186590293095075,0.0024489541193917406
156.0,69.28488220178336,0.03743138711186747,0.0024470279220066274
157.0,69.68944882452121,0.03767600779829176,0.002445460066794501
158.0,70.1012120471365,0.0379204958781491,0.00244439525309519
159.0,70.50785071960233,0.03816490656589885,0.0024439207202845573
160.0,70.91469163780583,0.03840930048512576,0.00244405792494219
161.0,71.32610534283835,0.03865373715468129,0.002444763073779789
162.0,71.7304696437332,0.038898268794444725,0.002445935908121592
