alpha,w_fit,I_tanh,I_grad,v_pred_tanh,v_pred_grad,v_sim,ratio_tanh,ratio_grad
1,4.540257675915246,0.026402951424599995,0.026435818161255807,0.02272082858521927,0.022692580566370104,0.022683905379854426,1.0016277270049643,1.000382437960766
2,4.541244547069075,0.026397213721891667,0.026430049633198293,0.011362883594125362,0.011348766683901494,0.011344428933652392,1.0016267597585478,1.0003823683214441
3,4.541427369321642,0.026396151060820234,0.026428981268564012,0.007575560695445904,0.007566150297486187,0.007563255650100674,1.001626950868052,1.0003827250485013
5,4.541520979934309,0.02639560697880811,0.026428434254421013,0.00454543010845584,0.004539784140726045,0.004538057231374688,1.0016246769719381,1.0003805393504994
10,4.541560476713736,0.026395377423026126,0.026428203475752445,0.002272734819616122,0.0022699118917129785,0.0022690418067107354,1.0016275649459012,1.0003834592203942
