A,v_sim,v_pred,ratio
0.5,0.0686615148583247,0.1138056987788021,1.6574889006400075
0.6,0.11151006066261279,0.1346626785309954,1.207628062712957
0.7,0.14502661485655166,0.15422383405162343,1.063417457576107
0.8,0.1726292683113377,0.17595725514715108,1.01927823055944
0.9,0.19732570319645976,0.1980424270088151,1.0036321867893803
1.0,0.220840870240276,0.2202588002603364,0.9973643013663804
1.1,0.24416086282823576,0.24257756184845267,0.9935153367274225
1.2,0.26728910537856165,0.26498624424265776,0.9913843808461914
1.3,0.2902126650630424,0.28746922777485595,0.9905468037117178
1.4,0.3134162795799335,0.30998575920736676,0.9890544282601892
1.5,0.3364747995846199,0.3324860661927798,0.9881455211600862
1.55,0.34798388680855014,0.3437168376112447,0.9877377966076544
1.6,0.3595498854297438,0.35492939326032036,0.9871492319795877
1.65,0.3711165967471156,0.3661225335025848,0.9865431422676743
1.7,0.3827731251657888,0.377293504937125,0.9856844175612108
1.75,0.39427741472764055,0.38844621426586445,0.9852104121515451
1.8,0.4057687019299467,0.399577613735184,0.9847423220043434
1.85,0.4174947095345885,0.41068415080893556,0.9836870777757994
1.9,0.42906008237377213,0.4217716211357855,0.9830129589365124
1.95,0.4405036884634654,0.4328422156824421,0.9826074718971196
2.0,0.4521528291778511,0.4438978110442474,0.9817428586068702
2.1,0.4751023588157563,0.4659681116306162,0.980774148947801
2.2,0.495926211261921,0.4880292727523248,0.9840763840864515
2.3,0.5084184889380865,0.510072348835994,1.003252949949483
2.4,0.5051489865286516,0.5317234655704732,1.0526072104478317
2.5,0.4901030141485835,0.5538089011464072,1.1299846872162067
3.0,0.31038172354967203,0.6414057374785197,2.0665061400623097
4.0,0.02928371252825999,0.7891917933499822,26.949854551002698
5.0,,,
