alpha,r_short,r_long,tau,T_long
0.01,1.7262987641751293,27.42447547378319,200.0,2000.0
0.02,1.1836657177193792,8.3209255130279,100.0,1000.0
0.03,1.0784706130001571,2.8016806154291634,66.66666666666667,666.6666666666667
