delta,v_sim,front_end,T,fits
0.001,0.4089004203470884,37.0,77.43362831858407,1
0.0005,0.22059061778999967,45.0,154.86725663716814,1
0.0002,0.09030850228468473,49.0,387.16814159292034,1
0.0001,0.04533662266357945,51.0,774.3362831858407,1
5e-05,0.022580248081235134,51.0,1548.6725663716813,1
2e-05,0.009075000229746838,52.0,3871.681415929203,1
1e-05,0.004539997363147979,52.0,7743.362831858406,1
