delta,v_sim,v_pred,ratio
0.001,0.220840870240276,0.2202588002603364,0.9973643013663804
0.002,0.4093027884498721,0.41114128488294177,1.0044917759784449
0.003,0.5533129942591455,0.5543022411787499,1.0017878613549085
0.004,0.6547951937160361,0.656536240062253,1.0026589174186453
0.0045,0.6923249748557312,0.6956523834269146,1.004806136846178
0.005,0.7225530619687589,0.7280315977264241,1.0075821916009016
0.0055,0.7457851321842819,0.7559828783955277,1.0136738395164546
0.006,0.7621598136003985,0.7816858441645913,1.025619338904728
0.0061,0.7646808981084351,0.7866869590200618,1.0287780968062135
0.0062,0.7670291798674802,0.7917042365542023,1.0321696453464588
0.0063,0.7690976153881188,0.796695467324476,1.035883418936919
0.0064,0.7709667219556661,0.8016245376652058,1.0397654202658344
0.0065,0.7726890304933144,0.8065626970325044,1.0438386792129866
0.007,0.7804101896780041,0.8312961071393299,1.0652040659314317
0.0075,0.7862064433992341,0.8559329516417507,1.0886872765135933
0.008,0.79027002841398,0.8803116599864416,1.1139378039594507
0.0085,0.7938365686842691,0.9043558879528228,1.139221753731668
0.009,0.7966111470549484,0.9281625593680894,1.1651388042955253
