alpha,v_sim,v_pred,ratio
0.01,0.7530089858820103,1.2999184817408818,1.7262987641751293
0.02,0.6742108454280191,0.7980402642477457,1.1836657177193792
0.03,0.5728716719261328,0.6178252631926014,1.0784706130001573
0.035,0.5249777065158858,0.5586206221681194,1.064084465368084
0.04,0.48167280918063926,0.5059509134716073,1.0504037259904018
0.045,0.44281357154304984,0.45967621351881766,1.0380806801313867
0.05,0.40846123332595147,0.41986853298584126,1.0279274964897018
0.055,0.3783304205498469,0.38594956428504185,1.0201388609568367
0.06,0.35159132888634104,0.35700748423353706,1.0154046897696585
0.065,0.3281254247929965,0.3321242686310899,1.012186936872131
0.07,0.3072970701929252,0.31051901378836955,1.0104847846203726
0.075,0.2888198481366125,0.29157251620959435,1.009530744132515
0.08,0.27232244391515653,0.27480620770917635,1.0091206723849528
0.1,0.22084087024027607,0.223269570783938,1.0109975139158776
0.15,0.14980407808229795,0.15133115486523102,1.0101938265131483
0.2,0.11265581742656754,0.11415012757359551,1.013264385108226
0.22,0.10251304984889661,0.10389901506170064,1.0135198905392722
0.24,0.09407908321428701,0.0953290104704359,1.013285920881073
0.26,0.08690755580140633,0.08805955845653776,1.0132554948129469
0.28,0.08072091329002992,0.08181650232374317,1.013572554980601
0.3,0.0753764136305174,0.07639744647760338,1.01354578704276
0.32,0.07070963332303112,0.07164978438642966,1.013295940301423
0.34,0.06656535549919475,0.06745631273959278,1.0133846988980448
0.36,0.06289322191740139,0.06372555004023225,1.0132339876612455
0.38,0.05959845535832033,0.06038506127448685,1.0131984279028248
0.4,0.05662992934948734,0.05737675453908877,1.0131878177878777
0.42,0.05394971429275218,0.05465350445115119,1.013045299083142
0.44,0.05147671029936072,0.05217668424646867,1.013597876457864
0.46,0.04925673888474766,0.0499143354452311,1.0133503876905474
0.5,0.045332685330007894,0.04593062076531122,1.0131899407888711
0.6,0.037787894702209314,0.038288762416746336,1.0132547134071415
0.7,0.03239881481803899,0.03282579031645797,1.0131787381982027
0.8,0.028347920834440366,0.028726459312430865,1.013353306586443
0.9,0.02520246782535737,0.025537003641580236,1.0132739308920484
1.0,0.022687393313511505,0.022984831381600568,1.013110279527438
2.0,0.011345777377431874,0.011494859660178056,1.0131398914139391
3.0,0.007563913563626313,0.007663541610772012,1.0131714946644546
5.0,0.004537604620515331,0.004598217698539603,1.0133579461177005
10.0,0.0022690657685384827,0.002299128411153157,1.013248907559889
