# uq_sweep.py main/train  2026-07-19T10:01:55+00:00
# seed=42  n=256  N=200  T=400.0  dt=0.0001  rel_tol=0.1
# python=3.14.6  numpy=2.3.4
# wall_seconds=3171  workers=8
delta,A,alpha,v_sim,v_pred,ratio,run_seconds
0.0010676587,1.0077463,0.10506049,0.225713,0.228859,1.013935,113.7
0.00092610357,0.96835697,0.10008716,0.198294,0.201250,1.014908,75.9
0.00090654233,1.0758862,0.098077349,0.220326,0.222977,1.012034,76.2
0.0010268952,1.045598,0.099765516,0.237127,0.240166,1.012812,162.4
0.0010341031,0.91567747,0.10884317,0.192213,0.195422,1.016692,160.1
0.00092020898,1.0298453,0.091652653,0.227985,0.231043,1.013414,151.3
0.00099254211,1.0336076,0.096439281,0.234326,0.237406,1.013142,140.8
0.00092284987,0.96207287,0.10786091,0.182795,0.185526,1.014941,135.0
0.0010783099,1.0129957,0.096401008,0.248278,0.251731,1.013909,113.2
0.00099042657,1.0947994,0.096326627,0.248090,0.251012,1.011778,76.0
0.0010951692,1.0925159,0.090708566,0.287659,0.291117,1.012019,76.2
0.001089926,1.0218431,0.099854531,0.244827,0.248155,1.013595,162.2
0.00090708325,0.90918122,0.10459303,0.174885,0.177804,1.016692,160.4
0.0009973394,1.0777663,0.090958643,0.259387,0.262562,1.012237,151.1
0.00094620795,1.0502223,0.10420975,0.211404,0.214086,1.012689,140.2
0.001059238,1.0632008,0.095520582,0.258616,0.261858,1.012536,135.2
0.0010463362,0.92283992,0.10391499,0.204700,0.208083,1.016529,111.5
0.00098370615,0.96666042,0.093268166,0.224059,0.227467,1.015207,76.6
0.00090384451,1.0444602,0.10345128,0.202642,0.205206,1.012652,76.5
0.00098450432,1.0496325,0.10675184,0.214472,0.217195,1.012697,163.0
0.00095256619,1.0872987,0.096527514,0.237000,0.239800,1.011816,161.1
0.00108137,1.0168678,0.10917975,0.222332,0.225360,1.013615,151.9
0.0010032152,1.0559792,0.092319231,0.251977,0.255184,1.012728,139.9
0.00095626652,0.97132764,0.094972866,0.215543,0.218742,1.014839,135.4
0.001099262,1.0056573,0.10804625,0.225512,0.228661,1.013967,110.7
0.0010040427,1.0205644,0.1020312,0.221708,0.224731,1.013639,76.7
0.0010625417,1.0321527,0.10754035,0.225202,0.228152,1.013098,76.5
0.00098796183,0.97568306,0.10016369,0.212366,0.215479,1.014660,162.8
0.00098178181,0.92053379,0.091853738,0.215946,0.219548,1.016681,161.2
0.00092140127,0.95903241,0.092107552,0.211435,0.214678,1.015339,152.1
0.0010330609,1.0404625,0.095415494,0.247421,0.250649,1.013047,139.7
0.00094414416,0.99983111,0.10097353,0.206879,0.209769,1.013972,135.5
0.0009991211,0.91049874,0.094720686,0.210912,0.214530,1.017151,109.8
0.0010459774,1.0191221,0.10297277,0.228209,0.231287,1.013487,76.6
0.00090159646,1.0539021,0.091771271,0.228648,0.231530,1.012604,76.5
0.0009251418,0.97708953,0.10588698,0.189431,0.192195,1.014591,162.7
0.00095330996,0.91313644,0.1093584,0.176530,0.179468,1.016646,161.4
0.0010142573,1.0749239,0.095924384,0.250072,0.253115,1.012169,152.2
0.00101529,1.0826466,0.090923534,0.265073,0.268278,1.012091,139.8
0.0010159502,1.0306134,0.098470052,0.234170,0.237297,1.013354,135.9
0.00093753848,0.90747045,0.1008845,0.186434,0.189621,1.017091,108.6
0.00094326064,0.9782046,0.10841788,0.188898,0.191642,1.014526,76.6
0.00099962793,0.98097885,0.10951573,0.198348,0.201232,1.014539,76.8
0.00095164193,0.97809012,0.10996025,0.187914,0.190656,1.014592,162.9
0.00094127614,0.99805682,0.10264789,0.202725,0.205546,1.013917,162.2
0.0010726968,0.98861951,0.10571437,0.221075,0.224275,1.014474,152.5
0.00096791003,1.0133093,0.1010843,0.214500,0.217425,1.013635,139.6
0.00092195243,0.90465607,0.099538757,0.185287,0.188437,1.017002,136.4
0.0010561278,1.0852367,0.098215119,0.256517,0.259615,1.012075,106.2
0.00096398645,0.93050084,0.094572956,0.208752,0.212166,1.016353,76.8
0.00098357779,0.95722349,0.1028959,0.202175,0.205271,1.015313,77.2
0.00099437658,1.0180199,0.10070725,0.221849,0.224895,1.013730,163.7
0.00090998397,0.96441806,0.10812504,0.180345,0.183042,1.014950,162.9
0.0010942519,0.98399694,0.090580962,0.258932,0.262784,1.014878,151.9
0.0010263898,1.0682129,0.098966767,0.244024,0.247030,1.012320,139.6
0.0010196364,0.92425856,0.1080496,0.192764,0.195941,1.016484,137.3
0.0009004188,0.94227469,0.098800958,0.190116,0.193096,1.015672,103.0
0.0010535267,0.99717539,0.10654868,0.217615,0.220696,1.014157,77.4
0.0010389512,1.0969223,0.0989975,0.253426,0.256427,1.011841,77.8
0.00097145531,1.0513267,0.10969897,0.206686,0.209259,1.012450,76.8
0.0010026446,0.92359923,0.104911,0.194971,0.198170,1.016410,76.0
0.00093096841,0.91507974,0.10029868,0.187834,0.190955,1.016615,76.4
0.0010166144,1.0346829,0.10207335,0.227443,0.230409,1.013039,76.6
0.00091026544,1.0222005,0.0953765,0.215669,0.218585,1.013520,76.7
0.0010136546,0.99297005,0.10430412,0.213127,0.216182,1.014336,76.9
0.0010222007,0.95633755,0.098390194,0.218573,0.221934,1.015377,76.4
0.00090408795,1.0233303,0.09115139,0.223974,0.226962,1.013340,83.7
0.00096669337,1.0265635,0.098613863,0.222239,0.225186,1.013260,76.9
0.001024505,0.92774076,0.10068378,0.207824,0.211240,1.016435,75.7
0.0010877559,1.0956949,0.097695639,0.267624,0.270787,1.011817,76.4
0.001095609,0.96354148,0.095839865,0.240829,0.244577,1.015563,76.6
0.001048192,0.93549322,0.10370818,0.208263,0.211633,1.016181,76.5
0.0010353882,1.0592036,0.092528743,0.259804,0.263086,1.012632,77.0
0.0010194913,0.94596969,0.10236087,0.207721,0.210987,1.015726,76.4
0.0009616534,0.9736409,0.09704753,0.212819,0.215963,1.014772,83.8
0.0010714695,1.0096269,0.093730585,0.252484,0.256038,1.014075,77.1
0.00099322528,1.0525332,0.10110304,0.228393,0.231279,1.012636,76.4
0.0010722933,0.94099989,0.10399109,0.213512,0.216929,1.016006,76.7
0.00098972544,0.9927213,0.095638773,0.226108,0.229352,1.014347,77.0
0.00096535358,1.0079908,0.1084512,0.199018,0.201755,1.013752,76.6
0.00099672218,1.0565084,0.10186118,0.228419,0.231272,1.012492,77.2
0.00093557244,1.0624456,0.10831238,0.203929,0.206430,1.012265,76.6
0.00098096322,0.92191294,0.090077374,0.220066,0.223760,1.016787,84.5
0.00097053762,0.94957873,0.09407322,0.215524,0.218915,1.015733,76.5
0.00091463664,0.99508715,0.097160433,0.207179,0.210120,1.014193,76.2
0.0010923456,0.95402379,0.10597256,0.216454,0.219815,1.015529,76.8
0.00096851156,1.0648808,0.095108822,0.239051,0.242023,1.012432,77.0
0.0010569224,0.95792047,0.099443366,0.223679,0.227129,1.015420,76.3
0.00098682196,0.96321783,0.10616997,0.198112,0.201096,1.015061,77.3
0.00095751123,1.0328197,0.10288069,0.212840,0.215625,1.013083,76.6
0.0010321055,1.0751471,0.10603065,0.231354,0.234149,1.012079,84.7
0.00091697322,0.94455569,0.1064235,0.180647,0.183440,1.015462,76.8
0.0010180348,1.0407114,0.098723131,0.236402,0.239469,1.012977,76.3
0.00097338745,0.97626574,0.10721008,0.196388,0.199252,1.014585,77.1
0.0010665136,0.91425128,0.1013074,0.211441,0.215041,1.017028,77.0
0.00095153038,0.97935095,0.10449738,0.197560,0.200417,1.014464,76.5
0.0010803132,1.0145236,0.09066804,0.263658,0.267353,1.014015,77.7
0.00097780756,0.95613237,0.09725223,0.211816,0.215101,1.015509,76.9
0.00095608018,0.9812537,0.094196135,0.219410,0.222617,1.014620,85.2
0.0010615587,0.96082294,0.094845826,0.235456,0.239114,1.015537,77.2
0.0010507391,0.92704619,0.10773824,0.199539,0.202788,1.016280,76.9
0.0010205105,1.0251271,0.1047345,0.220669,0.223625,1.013393,77.2
0.00099811725,1.0068539,0.098319234,0.225233,0.228390,1.014017,77.6
0.0010860118,0.90066835,0.097989077,0.218523,0.222398,1.017733,77.4
0.00099188763,1.0048861,0.10534521,0.209342,0.212239,1.013836,77.8
0.00095794632,0.97259281,0.10584046,0.195051,0.197915,1.014680,77.2
0.0010395039,0.94723004,0.1048302,0.207168,0.210397,1.015587,86.0
0.00090825971,0.90281518,0.093481346,0.193481,0.196810,1.017204,77.3
0.00099098905,1.0578005,0.10659261,0.217847,0.220551,1.012412,77.0
0.0010472833,0.90340745,0.10877115,0.192014,0.195323,1.017235,77.2
0.0010232531,1.0693853,0.10152515,0.237792,0.240713,1.012285,77.7
0.00094984316,0.99868625,0.10627459,0.197924,0.200696,1.014005,77.3
