Pi,kappa,v_sim,moved,T,fits
0.05,0.3,6.333410979089931e-20,0.10893484029449763,6000.0,1
0.08,0.3,1.9000232937269794e-19,0.13446752701807707,6000.0,1
0.1,0.3,0.0,1.0636832588697853,6000.0,1
0.115,0.3,3.800046587453959e-19,1.086743136847402,6000.0,1
0.13,0.3,0.003464542790028488,21.098913081726792,6000.0,1
0.16,0.3,0.009032121324977568,54.070635466301816,6000.0,1
0.2,0.3,0.014736068261773337,88.07412254674661,6000.0,1
0.25,0.3,0.021952652112538475,131.1329041871375,6000.0,1
0.3,0.3,0.030347725675625745,181.2992527693729,6000.0,1
0.35,0.3,0.04179060303179315,249.95081437431114,6000.0,1
